stfips,stabbr,stname,total_2018,hispanic_2018,nhwhite_2018,nhblack_2018,nhasian_2018,totalDeathBy_20200609,totalDeathBy_20200623,totalDeathBy_20200707,totalDeathBy_20200721,totalDeathBy_20200804,totalDeathBy_20200818,totalDeathBy_20200901,totalDeathBy_20200915,totalDeathBy_20200929,totalDeathBy_20201013,totalDeathBy_20201027,totalDeathBy_20201110,totalDeathBy_20201124,totalDeathBy_20201208,totalDeathBy_20201222,totalDeathBy_20210105,totalDeathBy_20210119,totalDeathBy_20210202,totalDeathBy_20210216,totalDeathBy_20210302,White_20200609,White_20200623,White_20200707,White_20200721,White_20200804,White_20200818,White_20200901,White_20200915,White_20200929,White_20201013,White_20201027,White_20201110,White_20201124,White_20201208,White_20201222,White_20210105,White_20210119,White_20210202,White_20210216,White_20210302,Black_20200609,Black_20200623,Black_20200707,Black_20200721,Black_20200804,Black_20200818,Black_20200901,Black_20200915,Black_20200929,Black_20201013,Black_20201027,Black_20201110,Black_20201124,Black_20201208,Black_20201222,Black_20210105,Black_20210119,Black_20210202,Black_20210216,Black_20210302,Latino_20200609,Latino_20200623,Latino_20200707,Latino_20200721,Latino_20200804,Latino_20200818,Latino_20200901,Latino_20200915,Latino_20200929,Latino_20201013,Latino_20201027,Latino_20201110,Latino_20201124,Latino_20201208,Latino_20201222,Latino_20210105,Latino_20210119,Latino_20210202,Latino_20210216,Latino_20210302,Asian_20200609,Asian_20200623,Asian_20200707,Asian_20200721,Asian_20200804,Asian_20200818,Asian_20200901,Asian_20200915,Asian_20200929,Asian_20201013,Asian_20201027,Asian_20201110,Asian_20201124,Asian_20201208,Asian_20201222,Asian_20210105,Asian_20210119,Asian_20210202,Asian_20210216,Asian_20210302
,,ALL STATES,,,,,,105227,113755,121223,130603,146196,164661,176259,187728,199992,212305,222741,233226,252629,272037,302367,332858,369543,406105,451434,496634,53402,57933,61480,65950,73095,82323,88225,94097,101624,109137,116283,123429,137391,151354,172731,194191,217830,241440,270692,299915,25028,26747,28325,29946,32702,35932,37836,39718,41781,43845,45038,46227,48110,49994,52780,55580,59407,63207,68230,73236,16875,18568,20221,22226,27378,32488,35602,38696,41302,43884,45392,46912,49362,51812,56100,60298,66309,72291,80693,89071,4588,5000,5297,5552,5970,6577,6946,7297,7735,8185,8429,8700,9056,9412,10301,11070,12558,14019,15894,17747
1.0,AL,Alabama,4887871.0,217181.0,3197324.0,1295175.0,71388.0,713,851,1005,1254,1605,1856,2034,2211,2366,2519,2698,2875,3346,3815,4042,4266,5068,5866,6628,7388,359,413,500,644,851,990,1095,1200,1300,1400,1500,1600,1932,2263,2420,2577,3139,3700,4209,4717,322,397,451,542,668,765,827,889,935,981,1041,1100,1222,1344,1394,1443,1622,1800,2008,2216,17,23,32,40,49,56,60,64,67,69,74,79,85,90,93,95,110,124,130,135,5,5,4,4,4,4,6,7,7,7,9,10,11,12,14,15,17,18,21,24
2.0,AK,Alaska,737438.0,53288.0,444411.0,24861.0,47799.0,11,12,17,18,25,28,36,43,51,60,73,87,119,147,188,225,249,270,290,307,6,7,11,11,11,12,15,18,21,24,28,31,41,51,67,82,94,105,115,125,0,0,0,0,0,0,0,0,0,2,3,3,5,6,8,9,9,9,9,9,0,0,0,0,0,0,0,1,1,1,1,1,3,4,7,9,10,11,12,12,2,2,2,2,2,2,3,3,4,5,7,8,11,13,17,20,24,27,29,30
4.0,AZ,Arizona,7171646.0,2266343.0,3902867.0,313875.0,244348.0,951,1250,1640,2440,3278,3897,4323,4747,4942,5132,5308,5480,5870,6257,7355,8449,10411,12369,13665,14957,505,640,786,1109,1512,1800,2015,2229,2331,2433,2531,2629,2853,3077,3701,4324,5406,6487,7198,7908,33,44,52,87,119,141,154,167,174,180,185,190,198,205,233,261,309,356,390,424,188,279,431,772,1076,1334,1486,1637,1694,1750,1790,1829,1940,2050,2362,2674,3268,3862,4238,4613,14,17,20,31,47,51,56,61,64,66,68,69,72,75,84,92,132,172,193,214
5.0,AR,Arkansas,3013825.0,233187.0,2176611.0,464640.0,48509.0,160,237,301,399,535,657,857,1055,1290,1522,1742,1959,2303,2642,3191,3736,4250,4761,5081,5399,90,125,159,206,290,362,501,639,810,980,1154,1328,1619,1909,2356,2803,3216,3628,3883,4137,48,65,70,95,129,159,190,221,266,310,336,362,398,433,500,566,625,684,729,774,8,18,23,37,44,54,66,78,84,90,95,99,107,114,126,137,150,163,171,179,1,1,3,6,7,9,11,13,15,17,19,20,20,20,23,25,29,32,34,36
6.0,CA,California,39557045.0,15540142.0,14568608.0,2223274.0,5818319.0,4503,5385,6282,7555,9162,10910,12499,14086,15210,16328,17096,17861,18864,19861,22153,24441,30864,37284,44010,50732,1500,1787,2006,2318,2754,3238,3710,4182,4547,4911,5154,5396,5749,6101,6890,7679,9779,11879,14314,16749,442,506,577,654,764,876,983,1090,1163,1235,1281,1327,1383,1438,1568,1697,2060,2423,2785,3146,1787,2192,2660,3386,4244,5186,6018,6850,7386,7921,8294,8667,9102,9536,10556,11575,14361,17147,20353,23558,675,778,886,998,1142,1311,1484,1656,1783,1909,2003,2096,2206,2316,2567,2818,3580,4341,5358,6374
8.0,CO,Colorado,5695564.0,1235117.0,3868329.0,229085.0,187668.0,1485,1601,1628,1701,1817,1861,1908,1953,1964,1973,2067,2157,2658,3157,3888,4616,4942,5263,5441,5616,970,1042,1054,1094,1165,1190,1218,1245,1251,1257,1309,1360,1706,2052,2586,3119,3356,3593,3718,3843,106,108,110,118,124,126,127,127,127,127,132,138,143,149,161,173,180,186,189,192,317,353,364,386,417,431,446,461,463,465,484,502,627,751,890,1028,1080,1131,1166,1200,56,57,57,58,60,61,62,63,63,63,68,73,78,84,95,106,112,117,116,114
9.0,CT,Connecticut,3572665.0,589809.0,2376351.0,364858.0,169570.0,4029,4215,4289,4363,4396,4415,4413,4409,4434,4456,4561,4662,4923,5183,5642,6097,6559,7020,7277,7532,2978,3123,3179,3229,3253,3260,3269,3278,3296,3313,3376,3438,3635,3832,4163,4493,4791,5089,5238,5386,614,638,644,652,656,658,660,661,665,668,677,685,710,735,769,802,835,868,885,902,348,366,374,380,383,393,396,399,401,403,414,424,456,488,544,600,651,701,738,774,44,45,47,48,48,48,48,48,49,49,50,51,54,57,64,71,75,79,81,83
10.0,DE,Delaware,967171.0,91974.0,599061.0,211504.0,38921.0,389,483,493,502,561,567,594,618,640,659,692,721,762,802,875,946,1027,1107,1267,1424,250,317,323,327,362,364,381,397,413,428,450,471,503,535,586,636,700,764,883,1001,107,128,131,134,150,151,156,160,165,169,177,184,192,200,213,225,239,253,287,321,27,31,32,34,40,43,46,48,49,49,51,52,53,53,58,63,65,66,71,76,1,1,1,1,1,1,1,1,1,1,2,2,2,2,5,8,9,10,11,11
11.0,DC,District of Columbia,702455.0,79249.0,260268.0,315337.0,30064.0,495,537,560,580,587,599,608,616,627,637,648,657,680,701,751,801,862,921,971,1019,54,58,60,62,62,63,65,66,67,67,67,67,70,72,77,82,91,99,109,119,367,398,418,428,434,445,452,459,467,475,483,490,504,518,554,590,637,683,723,762,62,68,74,76,77,77,77,77,79,81,83,85,89,93,99,105,108,111,108,105,7,8,8,8,8,8,8,8,8,8,8,8,9,9,10,11,11,11,13,14
12.0,FL,Florida,21299325.0,5562417.0,11399170.0,3309386.0,607001.0,2681,3146,3720,4990,7058,9330,10771,12210,13520,14828,15614,16397,17032,17663,18525,19382,20375,21365,24562,27756,1381,1579,1831,2451,3451,4631,5361,6090,6717,7344,7801,8257,8659,9060,9624,10187,10847,11507,13515,15522,569,676,780,1031,1439,1879,2122,2364,2685,3006,3136,3266,3357,3447,3545,3642,3738,3833,4265,4697,638,790,987,1327,1871,2404,2809,3214,3709,4203,4386,4568,4701,4833,5015,5196,5412,5628,6318,7007,0,27,30,32,71,95,139,183,196,208,220,231,239,247,261,274,289,303,353,403
13.0,GA,Georgia,10519475.0,1026737.0,5511319.0,3313815.0,443813.0,2265,2678,2884,3217,3867,4731,5505,6272,6806,7337,7755,8168,8579,8985,9453,9917,11288,12655,13872,15087,1007,1210,1315,1463,1795,2229,2647,3064,3393,3721,3978,4234,4494,4754,5060,5365,6286,7206,7963,8720,1102,1278,1354,1488,1740,2087,2371,2654,2831,3007,3139,3270,3378,3485,3605,3724,4081,4437,4792,5147,104,129,149,189,234,301,350,398,420,441,464,486,517,547,572,597,654,711,773,835,35,44,47,51,65,79,99,118,126,134,140,146,154,161,169,176,205,233,263,292
15.0,HI,Hawaii,1420491.0,151357.0,309043.0,27934.0,517717.0,0,0,0,0,0,0,7,14,54,158,182,205,228,250,264,275,334,391,411,429,0,0,0,0,0,0,0,0,0,14,17,19,22,24,25,25,31,36,38,40,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,54,94,109,124,135,146,153,159,191,223,234,244
16.0,ID,Idaho,1754208.0,222908.0,1433895.0,13050.0,26026.0,90,95,101,134,230,305,388,466,521,572,677,780,981,1177,1389,1597,1741,1882,1960,2035,82,84,89,117,197,260,330,399,443,486,571,655,833,1010,1195,1379,1500,1620,1685,1749,1,1,1,1,3,3,4,4,4,4,5,5,7,8,8,8,9,9,9,9,5,6,7,11,22,33,42,50,57,63,74,85,100,114,130,145,156,167,176,184,2,2,2,2,2,2,3,3,3,3,5,8,9,9,11,13,14,15,16,17
17.0,IL,Illinois,12741080.0,2214142.0,7773275.0,1791197.0,732320.0,5888,6607,6931,7219,7435,7650,7929,8204,8555,8902,9498,10088,11591,13089,14686,16277,17456,18630,19260,19888,2631,2974,3126,3253,3377,3514,3701,3888,4144,4399,4863,5326,6406,7485,8583,9681,10477,11272,11680,12087,1728,1880,1958,2018,2064,2102,2145,2187,2223,2259,2317,2374,2549,2723,2925,3126,3291,3456,3548,3640,1192,1368,1452,1530,1567,1596,1639,1682,1734,1785,1846,1907,2098,2288,2509,2729,2891,3052,3155,3257,282,320,330,349,358,366,371,376,383,390,397,403,441,479,541,602,648,693,714,735
18.0,IN,Indiana,6691878.0,475237.0,5276640.0,635087.0,161831.0,2048,2248,2393,2511,2652,2798,2938,3076,3341,3604,3921,4237,4790,5339,6355,7381,8124,8877,9780,10680,1396,1536,1638,1716,1816,1914,2020,2125,2437,2748,3028,3307,3814,4320,5237,6154,6826,7497,8291,9084,328,352,366,374,394,414,427,440,547,654,676,698,726,753,807,861,899,937,1003,1069,41,45,48,53,56,62,67,71,120,168,180,192,207,221,256,290,315,340,373,405,9,12,13,13,14,18,17,16,25,34,37,40,43,45,55,64,71,77,86,95
19.0,IA,Iowa,3156145.0,194432.0,2691471.0,119189.0,84180.0,630,670,707,778,860,955,1065,1172,1278,1380,1574,1765,2203,2639,3279,3914,4250,4582,5034,5483,493,548,581,642,714,802,906,1009,1104,1198,1368,1538,1955,2372,2982,3592,3910,4228,4646,5064,31,34,36,40,40,42,44,45,50,55,64,72,81,89,98,106,115,123,136,148,37,46,50,56,60,65,68,70,72,74,80,86,93,100,113,125,131,136,148,159,0,22,23,24,25,25,25,25,27,28,32,36,40,43,49,54,56,57,60,63
20.0,KS,Kansas,2911505.0,351180.0,2202954.0,167341.0,88851.0,258,286,311,339,412,451,520,584,677,766,921,1073,1374,1672,2118,2563,3003,3440,3950,4459,160,180,197,214,261,291,335,378,443,507,634,760,1019,1278,1673,2068,2451,2833,3250,3667,60,60,61,65,66,69,75,80,91,101,107,112,128,143,154,165,181,197,228,259,29,32,35,40,57,60,68,75,97,119,132,145,162,179,207,234,261,287,326,365,6,9,9,9,9,10,12,13,13,13,15,17,20,22,26,30,37,44,52,60
21.0,KY,Kentucky,4468402.0,171933.0,3766333.0,365332.0,71014.0,469,523,586,652,717,791,903,1013,1153,1292,1433,1571,1859,2145,2603,3058,3422,3785,4793,5800,361,405,459,512,559,624,720,816,932,1048,1181,1313,1569,1825,2231,2636,2975,3314,4235,5156,76,82,87,92,103,109,119,128,142,155,172,189,215,240,281,321,341,361,437,512,15,19,22,23,25,27,31,35,39,43,47,51,56,60,70,79,84,88,95,102,8,8,8,9,11,11,11,11,14,17,18,18,19,20,21,22,22,22,26,30
22.0,LA,Louisiana,4659978.0,243811.0,2729264.0,1503104.0,81667.0,2864,2901,3272,3564,4011,4513,4876,5237,5436,5631,5627,5622,6225,6826,7184,7538,8355,9168,9517,9862,1250,1289,1479,1641,1897,2186,2411,2635,2769,2902,2917,2932,3312,3691,3957,4223,4753,5282,5521,5760,1513,1510,1683,1801,1980,2156,2276,2396,2452,2507,2489,2471,2670,2869,2951,3032,3290,3548,3637,3726,57,59,64,73,79,111,122,133,141,148,148,148,164,180,186,191,208,224,233,241,22,21,23,24,28,29,32,35,36,37,37,37,41,45,48,50,56,62,68,74
23.0,ME,Maine,1338404.0,22850.0,1246689.0,20708.0,16343.0,90,91,97,106,111,117,121,125,129,132,135,139,158,179,232,285,383,483,538,592,88,89,94,104,107,113,117,121,125,128,131,134,152,169,220,271,369,466,514,562,1,1,2,2,4,4,4,4,4,4,4,4,5,5,6,7,7,7,9,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
